"filename", "language", "Properties", "JSON", "C#", "XML", "comment", "blank", "total"
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CHumans\Diver.cs", "C#", 0, 0, 137, 0, 17, 9, 163
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CHumans\DiverInstructor.cs", "C#", 0, 0, 44, 0, 7, 5, 56
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CHumans\Person.cs", "C#", 0, 0, 134, 0, 10, 26, 170
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CHumans\User.cs", "C#", 0, 0, 39, 0, 5, 3, 47
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CLocations\Address.cs", "C#", 0, 0, 67, 0, 3, 2, 72
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CLocations\Country.cs", "C#", 0, 0, 37, 0, 3, 5, 45
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CLocations\DivingClub.cs", "C#", 0, 0, 138, 0, 8, 10, 156
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CLocations\DivingSite.cs", "C#", 0, 0, 67, 0, 4, 4, 75
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CMisc\DiveRank.cs", "C#", 0, 0, 51, 0, 5, 6, 62
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CMisc\DiveRankGiven.cs", "C#", 0, 0, 46, 0, 5, 4, 55
